date,weekday,week_number,month,post_slot,camera,camera_submode,format,look,scene_type,cast,sibling_canon,concept,prompt_seed,caption_type,caption,product,product_sku,seasonal_hook,notes
2026-11-03,Tuesday,45,November,tue,Camera A,SELF,9:16,AVAILABLE,PROOF,ENGINE,NOTEBOOK,Quiet evidence of the week written down.,"[Camera A SELF 9:16, phone documentary] + [SILVER] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [engine logging numbers, head down, pen moving] + [plain grey tee dark with sweat, compression tights, cheap watch] + [phone lock screen glow] + [torn race bib edge, pen uncapped, old pace printout, coffee ring stain] + [cool silver ambient, fluorescent or overcast] + [lens distortion at frame edge, barrel bend] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,long ride in the book. legs quiet.,yes,RETATRUTIDE+,darker mornings; indoor fight and mat volume up,product peripheral only; lifestyle-first
2026-11-05,Thursday,45,November,thu,Camera B,,1:1,SILVER,SWEAT,GRAPPLER,BOXER CROP,"Interval residue: wet floor, unfinished set.","[Camera A SELF 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [grappler mid-interval, breathing hard, unfinished rep] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [basement gym Zurich] + [chalk block cracked, HR strap dangling, water bottle on side, towel knotted] + [mixed available light, practical lamps, window spill] + [thumb partially in frame, handed camera shake] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,the kettle finishes before the list does.,no,,darker mornings; indoor fight and mat volume up,
2026-11-06,Friday,45,November,fri,Camera A,POV,9:16,AVAILABLE,PREP,FIGHTER,FUEL LAY,"Bag open, day not started yet.","[Camera A POV 9:16, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [fighter packing bag, checking straps, quiet focus] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [stairwell with gear stacked] + [gel wrappers crumpled, belt coiled, shoes untied, bib number loose] + [mixed available light, practical lamps, window spill] + [thumb partially in frame, handed camera shake] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,long ride in the book. legs quiet.,no,,darker mornings; indoor fight and mat volume up,
2026-11-07,Saturday,45,November,sat,Camera A,,landscape_kitchen,FLAT GREY,KITCHEN,ROULEUR,COUNTER,Morning plate before the second session.,"[Camera A landscape landscape_kitchen, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [rouleur plating plain food, kettle steam, no smile] + [worn Rapha jersey under open gilet, grease-marked gloves] + [shared training house counter] + [rice cooker lid ajar, cut lemon half, protein scoop in sink, shopping list magnet] + [overcast flat grey, no drama] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",kitchen,sunday is just rice.,no,,darker mornings; indoor fight and mat volume up,
2026-11-09,Monday,46,November,mon,Camera B,,1:1,SILVER,SWEAT,ENGINE,BETWEEN ROUNDS,Heat still in the room after the last pull.,"[Camera B 1:1, still photographer, sibling feel BETWEEN ROUNDS] + [GOLD HOUR] + [50mm, warm low sun skim, gentle falloff] + [engine mid-interval, breathing hard, unfinished rep] + [plain grey tee dark with sweat, compression tights, cheap watch] + [indoor track lanes 3-4] + [water bottle on side, HR strap dangling, chalk block cracked, towel knotted] + [low warm sun, long shadows, rare probation use] + [flare streak cutting face out of frame] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,the kettle finishes before the list does.,no,,darker mornings; indoor fight and mat volume up,
2026-11-10,Tuesday,46,November,tue,Camera A,POV,1:1,AVAILABLE,SMEAR,MILER,MIRROR,"Red chalk and rain as texture, not drama.","[Camera A POV 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [miler moving through wet or chalked space, smear in foreground] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [red chalk smear on floor] + [glove left behind, rain on camera glass, mud streak on shin, tape peel] + [mixed available light, practical lamps, window spill] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,the kettle finishes before the list does.,no,,darker mornings; indoor fight and mat volume up,texture priority over face
2026-11-12,Thursday,46,November,thu,Camera B,,1:1,SILVER,PREP,MILER,BOXER CROP,"Bag open, day not started yet.","[Camera B 1:1, still photographer, sibling feel BOXER CROP] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [miler packing bag, checking straps, quiet focus] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [stairwell with gear stacked] + [shoes untied, gel wrappers crumpled, bib number loose, belt coiled] + [cool silver ambient, fluorescent or overcast] + [flare streak cutting face out of frame] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,dark morning session. lights on early.,no,,darker mornings; indoor fight and mat volume up,
2026-11-13,Friday,46,November,fri,Camera A,POV,1:1,AVAILABLE,PROOF,ROULEUR,BOXER CROP,Paper and screen as training memory.,"[Camera B 1:1, still photographer, sibling feel BOXER CROP] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [rouleur logging numbers, head down, pen moving] + [worn Rapha jersey under open gilet, grease-marked gloves] + [kitchen counter with notebook] + [torn race bib edge, old pace printout, pen uncapped, coffee ring stain] + [cool silver ambient, fluorescent or overcast] + [negative space uneven, subject off-third] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,dark morning session. lights on early.,no,,darker mornings; indoor fight and mat volume up,
2026-11-14,Saturday,46,November,sat,Camera A,HANDED,4:5,FLAT GREY,PREP,FIGHTER,FUEL LAY,Quiet assembly before leaving the flat.,"[Camera A HANDED 4:5, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [fighter packing bag, checking straps, quiet focus] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [car boot before session] + [bib number loose, shoes untied, gel wrappers crumpled, belt coiled] + [overcast flat grey, no drama] + [thumb partially in frame, handed camera shake] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,mat rounds counted. hands taped again.,no,,darker mornings; indoor fight and mat volume up,
2026-11-16,Monday,47,November,mon,Camera A,SELF,1:1,AVAILABLE,PREP,ENGINE,FUEL LAY,Quiet assembly before leaving the flat.,"[Camera A SELF 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [engine packing bag, checking straps, quiet focus] + [plain grey tee dark with sweat, compression tights, cheap watch] + [car boot before session] + [shoes untied, belt coiled, gel wrappers crumpled, bib number loose] + [mixed available light, practical lamps, window spill] + [lens distortion at frame edge, barrel bend] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,dark morning session. lights on early.,no,,darker mornings; indoor fight and mat volume up,
2026-11-17,Tuesday,47,November,tue,Camera B,,4:5,SILVER,SWEAT,FIGHTER,BETWEEN ROUNDS,Heat still in the room after the last pull.,"[Camera B 4:5, still photographer, sibling feel BETWEEN ROUNDS] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [fighter mid-interval, breathing hard, unfinished rep] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [mat room after open mat] + [water bottle on side, chalk block cracked, towel knotted, HR strap dangling] + [cool silver ambient, fluorescent or overcast] + [negative space uneven, subject off-third] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,mud on the cleat is just mud.,no,,darker mornings; indoor fight and mat volume up,
2026-11-19,Thursday,47,November,thu,Camera A,SELF,4:5,AVAILABLE,SMEAR,FIGHTER,MIRROR,A smear that proves the session happened.,"[Camera A SELF 4:5, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [fighter moving through wet or chalked space, smear in foreground] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [red chalk smear on floor] + [mud streak on shin, glove left behind, rain on camera glass, tape peel] + [mixed available light, practical lamps, window spill] + [thumb partially in frame, handed camera shake] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,breath shows before the first set.,no,,darker mornings; indoor fight and mat volume up,texture priority over face
2026-11-20,Friday,47,November,fri,Camera A,POV,1:1,AVAILABLE,HEIGHTENED,ENGINE,STAIRWELL,Pause above the city before the next block.,"[Camera A POV 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [engine paused on landing, city below soft, breath visible] + [plain grey tee dark with sweat, compression tights, cheap watch] + [rooftop stair landing] + [loose lace, distant tram light, breath vapour, fog on railing] + [mixed available light, practical lamps, window spill] + [slight dutch tilt, horizon not level] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"dark street, headlamp cone only.",no,,darker mornings; indoor fight and mat volume up,rare height; keep non-spectacle
2026-11-21,Saturday,47,November,sat,Camera B,,4:5,SILVER,GYM,ENGINE,GRAPPLE,Empty bay between sets; work unfinished.,"[Camera B 4:5, still photographer, sibling feel GRAPPLE] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [engine between sets, hands on knees, empty bay] + [plain grey tee dark with sweat, compression tights, cheap watch] + [rings and chalk bucket] + [timer blinking, wrist wraps draped, jump rope coiled wrong, bumper plate on edge] + [cool silver ambient, fluorescent or overcast] + [depth falloff too abrupt mid-body] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"basement gym, zurich. same smell as always.",no,,darker mornings; indoor fight and mat volume up,
2026-11-23,Monday,48,November,mon,Camera A,POV,4:5,AVAILABLE,PROOF,FIGHTER,NOTEBOOK,Paper and screen as training memory.,"[Camera A POV 4:5, phone documentary] + [SILVER] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [fighter logging numbers, head down, pen moving] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [kitchen counter with notebook] + [torn race bib edge, coffee ring stain, pen uncapped, old pace printout] + [cool silver ambient, fluorescent or overcast] + [thumb partially in frame, handed camera shake] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,indoor volume up. street work shorter.,no,,darker mornings; indoor fight and mat volume up,
2026-11-24,Tuesday,48,November,tue,Camera B,,4:5,SILVER,ROAD,ROULEUR,WET STREET,Wet road miles as ordinary labour.,"[Camera B 4:5, still photographer, sibling feel WET STREET] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [rouleur climbing or rolling, gaze ahead, traffic blur] + [worn Rapha jersey under open gilet, grease-marked gloves] + [Limmatquai dawn] + [map print wet, muddy cleat scrape, bidon in gutter, flat tire mark] + [cool silver ambient, fluorescent or overcast] + [motion blur on trailing limb] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"basement gym, zurich. same smell as always.",no,,darker mornings; indoor fight and mat volume up,
2026-11-26,Thursday,48,November,thu,Camera A,SELF,1:1,FLAT GREY,ROAD,ENGINE,AISLE,"Longer autumn or winter roll, no podium.","[Camera A SELF 1:1, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [engine climbing or rolling, gaze ahead, traffic blur] + [plain grey tee dark with sweat, compression tights, cheap watch] + [Albis wet climb] + [bidon in gutter, flat tire mark, muddy cleat scrape, map print wet] + [overcast flat grey, no drama] + [subject cropped mid-torso awkwardly] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"indoor hall, temporary lines taped.",no,,darker mornings; indoor fight and mat volume up,
2026-11-27,Friday,48,November,fri,Camera B,,4:5,SILVER,ROAD,ROULEUR,WET STREET,Climb or coast under flat light.,"[Camera B 4:5, still photographer, sibling feel WET STREET] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [rouleur climbing or rolling, gaze ahead, traffic blur] + [worn Rapha jersey under open gilet, grease-marked gloves] + [gravel shoulder near airport] + [bidon in gutter, flat tire mark, map print wet, muddy cleat scrape] + [cool silver ambient, fluorescent or overcast] + [focus soft on nearest plane] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"dark street, headlamp cone only.",no,,darker mornings; indoor fight and mat volume up,
2026-11-28,Saturday,48,November,sat,Camera B,,4:5,SILVER,GYM,OPERATOR,GRAPPLE,The corner of the gym that keeps the hours.,"[Camera B 4:5, still photographer, sibling feel GRAPPLE] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [operator between sets, hands on knees, empty bay] + [utility pants, black base layer, tape on one finger] + [sled lane after last pull] + [timer blinking, wrist wraps draped, jump rope coiled wrong, bumper plate on edge] + [cool silver ambient, fluorescent or overcast] + [focus soft on nearest plane] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"dark street, headlamp cone only.",no,,darker mornings; indoor fight and mat volume up,
2026-11-30,Monday,49,November,mon,Camera A,POV,4:5,FLAT GREY,ROAD,ROULEUR,AISLE,Climb or coast under flat light.,"[Camera A POV 4:5, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [rouleur climbing or rolling, gaze ahead, traffic blur] + [worn Rapha jersey under open gilet, grease-marked gloves] + [coast path flat grey light] + [muddy cleat scrape, bidon in gutter, flat tire mark, map print wet] + [overcast flat grey, no drama] + [subject cropped mid-torso awkwardly] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,stairwell between floors. no one waiting.,no,,darker mornings; indoor fight and mat volume up,
2026-12-01,Tuesday,49,December,tue,Camera B,,screen,SILVER,SWEAT,ENGINE,BOXER CROP,"Interval residue: wet floor, unfinished set.","[Screen screen] + [FLAT GREY] + [UI close, phone screen in hand or on counter] + [engine training log or map visible, thumb edge] + [plain sleeve cuff] + [kitchen or gym bench] + [pen, coffee ring, charging cable, notebook corner] + [overcast flat grey, no drama] + [screen glare, fingerprint smudge] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,dark by the last interval.,no,,short days; kitchen and prep density up; year-end training logs,story candidate; UI mock from real log
2026-12-03,Thursday,49,December,thu,Camera A,SELF,4:5,FLAT GREY,SMEAR,ROULEUR,MIRROR,A smear that proves the session happened.,"[Camera A SELF 4:5, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [rouleur moving through wet or chalked space, smear in foreground] + [worn Rapha jersey under open gilet, grease-marked gloves] + [wet pavement under sodium lamp] + [tape peel, glove left behind, rain on camera glass, mud streak on shin] + [overcast flat grey, no drama] + [subject cropped mid-torso awkwardly] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,steam on the mirror means the room worked.,no,,short days; kitchen and prep density up; year-end training logs,texture priority over face
2026-12-04,Friday,49,December,fri,Camera A,POV,4:5,AVAILABLE,PROOF,ENGINE,NOTEBOOK,Paper and screen as training memory.,"[Camera A POV 4:5, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [engine logging numbers, head down, pen moving] + [plain grey tee dark with sweat, compression tights, cheap watch] + [phone lock screen glow] + [pen uncapped, old pace printout, coffee ring stain, torn race bib edge] + [mixed available light, practical lamps, window spill] + [lens distortion at frame edge, barrel bend] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,year-end log. no summary speech.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-05,Saturday,49,December,sat,Camera B,,1:1,SILVER,CREW,GRAPPLER,BETWEEN ROUNDS,Between heats with the same thermos.,"[Camera B 1:1, still photographer, sibling feel BETWEEN ROUNDS] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [small crew around grappler, talking low, shared thermos] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [bench between heats] + [team bag unzipped, shared thermos, spare jacket heap, race belt on chair] + [cool silver ambient, fluorescent or overcast] + [negative space uneven, subject off-third] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",crew,few left in the bay.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-07,Monday,50,December,mon,Camera B,,1:1,SILVER,SWEAT,ROULEUR,BOXER CROP,Mid-session breath catch with no hero angle.,"[Camera A SELF 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [rouleur mid-interval, breathing hard, unfinished rep] + [worn Rapha jersey under open gilet, grease-marked gloves] + [mat room after open mat] + [chalk block cracked, towel knotted, water bottle on side, HR strap dangling] + [mixed available light, practical lamps, window spill] + [HDR haloing on window edges] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,steam on the mirror means the room worked.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-08,Tuesday,50,December,tue,Camera B,,4:5,SILVER,SWEAT,ROULEUR,BETWEEN ROUNDS,Heat still in the room after the last pull.,"[Camera B 4:5, still photographer, sibling feel BETWEEN ROUNDS] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [rouleur mid-interval, breathing hard, unfinished rep] + [worn Rapha jersey under open gilet, grease-marked gloves] + [indoor track lanes 3-4] + [chalk block cracked, HR strap dangling, water bottle on side, towel knotted] + [cool silver ambient, fluorescent or overcast] + [depth falloff too abrupt mid-body] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,tape peel left on the bench.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-10,Thursday,50,December,thu,Camera B,,2.39:1,SILVER,KITCHEN,MILER,COAST,"Fuel as routine, not content cuisine.","[Camera B 2.39:1, still photographer, sibling feel COAST] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [miler plating plain food, kettle steam, no smile] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [small Zurich flat kitchen] + [cut lemon half, rice cooker lid ajar, protein scoop in sink, shopping list magnet] + [cool silver ambient, fluorescent or overcast] + [depth falloff too abrupt mid-body] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",kitchen,"rice, eggs, greens. no plating speech.",no,,short days; kitchen and prep density up; year-end training logs,
2026-12-11,Friday,50,December,fri,Camera B,,4:5,SILVER,SWEAT,ROULEUR,BETWEEN ROUNDS,Heat still in the room after the last pull.,"[Camera B 4:5, still photographer, sibling feel BETWEEN ROUNDS] + [GEL] + [50mm, soft gel colour wash, shallow subject isolation] + [rouleur mid-interval, breathing hard, unfinished rep] + [worn Rapha jersey under open gilet, grease-marked gloves] + [indoor track lanes 3-4] + [chalk block cracked, HR strap dangling, water bottle on side, towel knotted] + [soft coloured gel spill from side, subdued] + [negative space uneven, subject off-third] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,the notebook page is denser in december.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-12,Saturday,50,December,sat,Camera A,POV,1:1,AVAILABLE,PROOF,MILER,NOTEBOOK,Paper and screen as training memory.,"[Camera A POV 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [miler logging numbers, head down, pen moving] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [kitchen counter with notebook] + [torn race bib edge, pen uncapped, coffee ring stain, old pace printout] + [mixed available light, practical lamps, window spill] + [lens distortion at frame edge, barrel bend] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,short day. dense notebook page.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-14,Monday,51,December,mon,Camera A,POV,9:16,AVAILABLE,PROOF,GRAPPLER,NOTEBOOK,Paper and screen as training memory.,"[Camera A POV 9:16, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [grappler logging numbers, head down, pen moving] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [phone lock screen glow] + [torn race bib edge, pen uncapped, old pace printout, coffee ring stain] + [mixed available light, practical lamps, window spill] + [HDR haloing on window edges] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,session logged. nothing else to say.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-15,Tuesday,51,December,tue,Camera A,HANDED,9:16,AVAILABLE,SMEAR,ROULEUR,MIRROR,"Red chalk and rain as texture, not drama.","[Camera A HANDED 9:16, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [rouleur moving through wet or chalked space, smear in foreground] + [worn Rapha jersey under open gilet, grease-marked gloves] + [red chalk smear on floor] + [rain on camera glass, mud streak on shin, glove left behind, tape peel] + [mixed available light, practical lamps, window spill] + [lens distortion at frame edge, barrel bend] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,the notebook page is denser in december.,no,,short days; kitchen and prep density up; year-end training logs,texture priority over face
2026-12-17,Thursday,51,December,thu,Camera A,POV,1:1,AVAILABLE,GYM,FIGHTER,STAIRWELL,Empty bay between sets; work unfinished.,"[Camera A POV 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [fighter between sets, hands on knees, empty bay] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [rings and chalk bucket] + [timer blinking, bumper plate on edge, wrist wraps draped, jump rope coiled wrong] + [mixed available light, practical lamps, window spill] + [subject cropped mid-torso awkwardly] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,short daylight window on the track.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-18,Friday,51,December,fri,Camera B,,9:16,SILVER,SWEAT,MILER,BOXER CROP,Heat still in the room after the last pull.,"[Camera A SELF 9:16, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [miler mid-interval, breathing hard, unfinished rep] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [basement gym Zurich] + [HR strap dangling, chalk block cracked, water bottle on side, towel knotted] + [mixed available light, practical lamps, window spill] + [subject cropped mid-torso awkwardly] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,dark by the last interval.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-19,Saturday,51,December,sat,Camera A,HANDED,9:16,AVAILABLE,SMEAR,MILER,MIRROR,Colour and weather left on the body and glass.,"[Camera A HANDED 9:16, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [miler moving through wet or chalked space, smear in foreground] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [red chalk smear on floor] + [mud streak on shin, tape peel, rain on camera glass, glove left behind] + [mixed available light, practical lamps, window spill] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,the notebook page is denser in december.,yes,MOTS-C+,short days; kitchen and prep density up; year-end training logs,product peripheral only; lifestyle-first; texture priority over face
2026-12-21,Monday,52,December,mon,Camera A,POV,4:5,AVAILABLE,PROOF,OPERATOR,BOXER CROP,Paper and screen as training memory.,"[Camera B 2.39:1, still photographer, sibling feel BOXER CROP] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [operator logging numbers, head down, pen moving] + [utility pants, black base layer, tape on one finger] + [phone lock screen glow] + [torn race bib edge, coffee ring stain, pen uncapped, old pace printout] + [cool silver ambient, fluorescent or overcast] + [depth falloff too abrupt mid-body] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,short day. dense notebook page.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-22,Tuesday,52,December,tue,Camera A,POV,1:1,AVAILABLE,PREP,OPERATOR,FUEL LAY,Quiet assembly before leaving the flat.,"[Camera A POV 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [operator packing bag, checking straps, quiet focus] + [utility pants, black base layer, tape on one finger] + [stairwell with gear stacked] + [belt coiled, shoes untied, bib number loose, gel wrappers crumpled] + [mixed available light, practical lamps, window spill] + [slight dutch tilt, horizon not level] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,session logged. nothing else to say.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-24,Thursday,52,December,thu,Camera A,HANDED,4:5,FLAT GREY,ROAD,ROULEUR,AISLE,Climb or coast under flat light.,"[Camera A HANDED 4:5, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [rouleur climbing or rolling, gaze ahead, traffic blur] + [worn Rapha jersey under open gilet, grease-marked gloves] + [Albis wet climb] + [muddy cleat scrape, bidon in gutter, map print wet, flat tire mark] + [overcast flat grey, no drama] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,wet street before dawn. bollards indifferent.,no,,short days; kitchen and prep density up; year-end training logs,
2026-12-25,Friday,52,December,fri,Camera A,,landscape_kitchen,AVAILABLE,KITCHEN,FIGHTER,COUNTER,Morning plate before the second session.,"[Camera A landscape landscape_kitchen, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [fighter plating plain food, kettle steam, no smile] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [small Zurich flat kitchen] + [protein scoop in sink, cut lemon half, shopping list magnet, rice cooker lid ajar] + [mixed available light, practical lamps, window spill] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",kitchen,"year-end fridge, same containers.",no,,short days; kitchen and prep density up; year-end training logs,
2026-12-26,Saturday,52,December,sat,Camera A,HANDED,1:1,AVAILABLE,GYM,OPERATOR,STAIRWELL,Hardware and chalk without a PR face.,"[Camera A HANDED 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [operator between sets, hands on knees, empty bay] + [utility pants, black base layer, tape on one finger] + [cable rack corner] + [wrist wraps draped, bumper plate on edge, timer blinking, jump rope coiled wrong] + [mixed available light, practical lamps, window spill] + [slight dutch tilt, horizon not level] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,short daylight window on the track.,no,,short days; kitchen and prep density up; year-end training logs,
